Tempo,Canal 0,Canal 1
1702557205.563786,0.0,0.0
1702557205.5668116,0.259,0.2405
1702557205.569809,1.0,1.0
1702557205.5748074,1.0,1.0
1702557205.57681,1.0,1.0
1702557205.5788102,1.0,1.0
1702557205.5818021,1.0,1.0
1702557205.584812,0.9961,1.0
1702557205.5898025,0.3519,0.3412
1702557205.591802,0.0,0.0
1702557205.5937977,0.0,0.0
1702557205.595797,0.0,0.0
1702557205.5988054,0.0,0.0
1702557205.6021683,0.0,0.0
1702557205.6041691,0.0,0.0
1702557205.606169,0.0,0.0
1702557205.6081684,0.0068,0.0
1702557205.610169,0.0,0.0
1702557205.6121702,0.0899,0.0528
1702557205.6141703,0.8211,0.9218
1702557205.6168163,1.0,1.0
1702557205.6188421,1.0,1.0
1702557205.6208415,1.0,1.0
1702557205.6228411,1.0,1.0
1702557205.6258314,1.0,1.0
1702557205.627841,0.4839,0.5572
1702557205.6298416,0.0,0.0
1702557205.6331358,0.0,0.0
1702557205.6352036,0.0,0.0
1702557205.6372008,0.0,0.0
1702557205.6392012,0.0,0.0
1702557205.6412013,0.0,0.0
1702557205.6432009,0.0,0.0
1702557205.6452012,0.0,0.0
1702557205.6472037,0.0254,0.0
1702557205.651195,0.651,0.6598
1702557205.6540074,1.0,1.0
1702557205.6560075,1.0,1.0
1702557205.6580079,1.0,1.0
1702557205.6600075,1.0,1.0
1702557205.662007,1.0,1.0
1702557205.6640115,0.7458,0.784
1702557205.667011,0.1056,0.0
1702557205.6690905,0.0,0.0
1702557205.6710887,0.0,0.0
1702557205.6730847,0.0,0.0
1702557205.6750844,0.0,0.0
1702557205.6770842,0.0,0.0
1702557205.6790853,0.0,0.0
1702557205.68209,0.0,0.0
1702557205.6876307,0.002,0.0
1702557205.6906264,0.393,0.3578
1702557205.6926262,1.0,1.0
1702557205.6946256,1.0,1.0
1702557205.6966255,1.0,1.0
1702557205.700632,1.0,1.0
1702557205.7047567,1.0,1.0
1702557205.7067502,1.0,1.0
1702557205.7087493,0.9345,0.9599
1702557205.7107491,0.2815,0.2307
1702557205.7127502,0.0,0.0
1702557205.716987,0.0,0.0
1702557205.7190065,0.0,0.0
1702557205.722,0.0,0.0
1702557205.7240002,0.0,0.0
1702557205.7260041,0.0,0.0
1702557205.7280004,0.0049,0.0
1702557205.73,0.0,0.0
1702557205.7328174,0.1642,0.1398
1702557205.7356482,0.9189,1.0
1702557205.737645,1.0,1.0
1702557205.7396457,1.0,1.0
1702557205.7416449,1.0,1.0
1702557205.7436447,1.0,1.0
1702557205.7456446,1.0,1.0
1702557205.747645,0.4066,0.4516
1702557205.7506506,0.0,0.0
1702557205.7532637,0.0,0.0
1702557205.7552612,0.0,0.0
1702557205.7572615,0.0,0.0
1702557205.7592611,0.0,0.0
1702557205.7612612,0.0,0.0
1702557205.7632594,0.0,0.0
1702557205.7662563,0.001,0.0
1702557205.769238,0.0508,0.0156
1702557205.772236,0.7517,0.8416
1702557205.7742343,1.0,1.0
1702557205.776234,1.0,1.0
1702557205.778235,1.0,1.0
1702557205.7802346,1.0,1.0
1702557205.782228,1.0,1.0
1702557205.786456,0.6061,0.6608
1702557205.7884507,0.0313,0.0
1702557205.7904513,0.0,0.0
1702557205.792451,0.0,0.0
1702557205.794451,0.0,0.0
1702557205.7964509,0.0,0.0
1702557205.7984514,0.0,0.0
1702557205.80409,0.0,0.0
1702557205.8060906,0.0,0.0
1702557205.8080904,0.0,0.0
1702557205.8100905,0.0303,0.0
1702557205.8120904,0.6002,0.5533
1702557205.8140948,1.0,1.0
1702557205.8192768,1.0,1.0
1702557205.822287,1.0,1.0
1702557205.8242874,1.0,1.0
1702557205.8262866,1.0,1.0
1702557205.828288,0.8436,0.8749
1702557205.830289,0.2023,0.1065
1702557205.8334506,0.0,0.0
1702557205.8366106,0.0225,0.0
1702557205.8396125,0.0,0.0
1702557205.8406126,0.001,0.0
1702557205.8426132,0.0,0.0
1702557205.8446126,0.0,0.0
1702557205.846613,0.0,0.0
1702557205.8498764,0.0049,0.0
1702557205.8523629,0.2991,0.2639
1702557205.854371,1.0,1.0
1702557205.8563707,1.0,1.0
1702557205.8583708,1.0,1.0
1702557205.8603704,1.0,1.0
1702557205.8623714,1.0,1.0
1702557205.8643718,0.9765,0.9961
1702557205.8680289,0.3304,0.3226
1702557205.8700352,0.0,0.0
1702557205.8720307,0.0,0.0
1702557205.874031,0.0,0.0
1702557205.8760304,0.0,0.0
1702557205.8780305,0.0,0.0
1702557205.8800306,0.0,0.0
1702557205.882901,0.0,0.0
1702557205.8856597,0.0,0.0
1702557205.8876574,0.1046,0.0704
1702557205.88966,0.8426,0.9629
1702557205.8916588,1.0,1.0
1702557205.8936584,1.0,1.0
1702557205.8956575,1.0,1.0
1702557205.897658,1.0,1.0
1702557205.9007666,1.0,1.0
1702557205.90376,0.956,0.9795
1702557205.9047604,0.477,0.5112
1702557205.9067602,0.0,0.0
1702557205.9087613,0.0,0.0
1702557205.9107602,0.0,0.0
1702557205.91276,0.0,0.0
1702557205.9189591,0.0,0.0
1702557205.922961,0.0,0.0
1702557205.9249604,0.0,0.0
1702557205.9269602,0.0,0.0
1702557205.9289606,0.0196,0.0
1702557205.9309602,0.6657,0.6804
1702557205.9347136,1.0,1.0
1702557205.9367127,1.0,1.0
1702557205.9387136,1.0,1.0
1702557205.9407136,1.0,1.0
1702557205.9427137,1.0,1.0
1702557205.9447155,0.7263,0.7713
1702557205.9467127,0.0723,0.0
1702557205.9491684,0.0,0.0
1702557205.9524336,0.0,0.0
1702557205.9544315,0.0,0.0
1702557205.9564288,0.0,0.0
1702557205.9584286,0.0,0.0
1702557205.9604282,0.0,0.0
1702557205.9624293,0.0,0.0
1702557205.964433,0.0196,0.0
1702557205.9678028,0.4399,0.4008
1702557205.969804,1.0,1.0
1702557205.9718032,1.0,1.0
1702557205.9728024,1.0,1.0
1702557205.9757936,1.0,1.0
1702557205.977802,1.0,1.0
1702557205.9798038,0.9179,0.9413
1702557205.981802,0.259,0.1887
1702557205.9846132,0.0,0.0
1702557205.9866114,0.0,0.0
1702557205.988612,0.0,0.0
1702557205.9906116,0.0,0.0
1702557205.9926124,0.0,0.0
1702557205.993612,0.0,0.0
1702557205.995612,0.0,0.0
1702557205.9976108,0.001,0.0
1702557206.001369,0.0156,0.0
1702557206.0033684,0.1672,0.1632
1702557206.005368,0.9247,1.0
1702557206.0063684,1.0,1.0
1702557206.0083685,1.0,1.0
1702557206.0103686,1.0,1.0
1702557206.0123687,1.0,1.0
1702557206.0156667,1.0,1.0
1702557206.0179389,0.3861,0.4213
1702557206.019938,0.0,0.0
1702557206.0219378,0.0,0.0
1702557206.0239372,0.0,0.0
